S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
415C,THE HORROR! THE HORROR! - THE FINAL CURTAIN,Musical,United Kingdom,Theatre of the Damned,"A rollicking new musical horror-comedy, filled with saucy antics, doomed romance, toe-tapping tunes and macabre merriment."
119C,The Vivian Girls: A Musical,Musical,United States,Stacy Sims,THE VIVIAN GIRLS is a musical by Stacy SimsPeter Adams and Heather Britt that is inspired by the work of outsider artist Henry Darger.
78C,Let's Talk Calmly About Security and Privacy,Radio & Podcasts,United States,Matthew Burton,A former intelligence analyst/government transparency advocate talks to his colleagues about the past year's NSA revelations.
244C,The Judgment of Paris,Plays,United States,Peter Bruckner,The Judgement of Paris is an excitinginspirational poem set to run Oct. 23 & 4 at Plays & Playersbut we need funding and fans.
292B,We're making a pocket-sized guide for Portland-bound bikers!,Publishing,United States,PDX by BIKE,We are creating a travel guide so that people visiting Portland can see our town the way locals do-by bicycle!
644C,Missed Connections' - A Full Length Circus Show,Theater,United States,Stacey Kigner,"Missed Connections is a full length circus show exploring human relationships gone awry through aerial dance, juggling and more!"
461B,The Fat and Greasy Citizens Brigade,Theater,United States,Heather Cipu & Alexis Truitt,"The Fat and Greasy Citizens Brigade: A New Washington, DC Based Theatre Company"
328C,Your Radio Adventure!,Plays,United States,Jonah Eisenstock,"Radio show meets interactive novel, accompanied by live foley, music, and audience participation. YOU choose what happens next!"
650C,Me and My Shadow: A Collaboration,Theater,United States,Heidi Kraay,A theatrical experience featuring live improvisational musicdance and projected video art.
186B,UMANITÃ€ > theater film art dance trilogy on Nature & Humans,Theater,United States,Silvia Girardi,Humanity >  an interdisciplinary theater trilogy on Nature and Humans.
377C,IHumpty,Fiction,United States,Eric Wilder,"Celebrating the absurd with mock-tabloid satire, IHumpty marries the realities of life with elements from fairytales and folklore."
341C,Wise Words Festival | 12th - 21st September 2014,Festivals,United Kingdom,Wise Words Festival,"Inspiring wonder and encouraging curiosity through thought provoking talks, music, performances, stories and poetry."
444B,Woodshed Collective Presents: Empire Travel Agency,Immersive,United States,Teddy Bergman,"A theatrical adventure crisscrossing Manhattan, that uncovers a secret underworld lurking in the shadows of NYC's epicenter of power."
11,The Giraffe's Mustache?,Children's Books,United States,Katie Rains Designs,"Based on the one-of-a-kind plush giraffes designed by Katie Rains, ""The Giraffe's Mustache?"" is a children's storybook you can color."
216C,Magical WorkshopMagic/Hobby Store,Spaces,United States,Valdino,Help expand the time of everyones favorite magic store!  It currently limited to 3 days a week. If not for youthen the children!
133B,Mamela Young Womens Project,Theater,United Kingdom,Amy Golding,A theatre project that connects and gives a voice to young women from South Africa and the UK.
240B,"Berlin's first international, alternative comedy stage!",Spaces,Germany,Noah,Love comedy? Get involved in creating a dedicated space for alternative comedy in Berlin.(Das Video ist untertitelt. Klicke auf CC)
429B,Artificial Womb Zine,Zines,United Kingdom,Ana Hine,"A feminist arts zine, which pays its contributors a fair wage. Committed to grassroots activism, leftist solidarity & saving the bees."
379B,Bring Love's Labour's Lost to Minnesota,Plays,United States,The Moving Company,"The birth-child of The Moving Company, Theatre de la Jeune Lune & William Shakespeare:  A wild new production of Love's Labour's Lost."
167C,The Pointa show in the Women's Voices Theater Festival,Festivals,United States,Arcturus Theater Company,The Point is a stage work about the impact a middle-aged woman's dementia has on the her and her network of family and friends.
130C,Death Ship 666! - The Titanic Parody Play,Theater,United Kingdom,Box Step Productions,Titanic' and 'Airplane!' collide in this joyfulfast-paced disaster parody play. Docking at Edinburgh Fringe 2013.
208C,The Anthropologists Love-a-Thon!,Theater,United States,The Anthropologists,"""For the Love Of..."" is a constellation of three visceral and absurd dance plays. It's dance, but it's not dance. It's choreographed emotion."
419B,Educational Webinars for Non-Equity Theater Actors,Theater,United States,Volunteer Theatre Actors Association,Non-Equity Actors need access to training and education too! We would like to provide such webinars free of charge.
100B,AS THE MATZO BALL TURNS ~ THE MUSICAL,Musical,United States,Gene Duffy,"Broadway or bust! From nutty Hollywood types to drag queens to dancing sandwiches, this musical has it all."
191C,BOA X: The Bay One-Acts Festival 2011,Festivals,United States,The BOA Festival,The Bay One-Acts Festival (BOA) showcases the best short plays from the most exciting independent theatre companies in San Francisco.
474C,The Lady in Red Converses with Diablo,Immersive,United States,Sophia Schrank,In the Basement Co invades a 10-room former hospital basement in Brooklyn to put up our new show The Lady in Red Converses with DIABLO!
59,Burning Man: The Musical,Musical,United States,Matt Werner,We're creating & filming the opening song to Burning Man: The Musical.
166B,Imaginary Theater Company Presents the Premiere of The Boat,Plays,United States,Starry Krueger,Marina's mother has disappeared at sea.  Everyone believes she has drowned.  But Marina believes her mother has become a mermaid.
8,Publish the first issue of Catamaran Literary Reader,Literary Journals,US,Catherine Segurson,Catamaran Literary Reader is a print magazine with themes rooted in California.
480B,"Exorcistic ""An Exorcist Rock Musical Parody""",Musical,United States,Laura Anne Sperrazza,"Exorcistic-Winner of ""Best Musical"" at the Hollywood Fringe 2013 wants to continue it's life at the Sacred Fools Theater Company in LA"
122C,TickTick...Boom!,Theater,United States,Porchlight Music Theatre,"Before ""Rent"" Jonathan Larson had another story to tell...his own ""ticktick...Boom!"" April 28th-June 10th at Stage 773-1225 W Belmont"
337B,Suburban Motel,Theater,United States,Michelle Pauls,"1 seedy motel room, 2 plays, 9 actors, loads of compromising situations. Suburban Motel by George F Walker in Philadelphia in June."
165B,BODY Play - New Draft New England Tour,Theater,United States,Kaycee Filson,"BODY Play, a solo performance piece about our bodies, hits the road this June with a NEW DRAFT!"
113,The Witches,Immersive,US,Cast of The Witches,The Witches is a nightmare immersive theatre experience that takes you on a terrifying journey through Macbeth's murderous rise & fall
203B,Underbelly's CHURCH OF THE PASSIONATE CAT,Theater,United States,Gabrielle Reisman,"A metaphysical mystery play- part classic film noir, part Twin Peaks, part revivalist church nightclub."
183C,Short Plays by Short People Theatre Festival,Theater,United States,StageWrite,Six plays written by 5th graders and performed by professional actors and musicians at the Brava Theater May 8th & 9th
564C,WORLD FAMOUSA New Play,Theater,United States,Tim Murray,"They're putting the ""survive"" in survival job."
112C,Split Knuckle Theatre's Endurance comes to New York City!,Theater,United States,Split Knuckle Theatre,Split Knuckle Theatre brings its world-renowned show Endurance to the APAP/NYC conference this January!
489B,"Spectacle en son et lumière, un ""Judo Show"" unique",Theater,France,Judo Club Crèvecoeur,"Dans un univers totalement décalé entre judo et jeu de scéne, sérieux et burlesque le tout dans une ambiance conviviale et dynamique !"
302B,Over the Top: The true-life tale of Dorothy Lawrence',Plays,United Kingdom,The Heroine Project Presents,"New show with 2 performers and an original score, bringing the true story of this forgotten WW1 heroine to audiences in the southwest."
510C,"New Musical ""My Lives Inside"" about Mental Illness",Musical,United States,Athena Louise Hyacinth,I am producing a new musical that discusses mental illness to help raise awareness and defeat stigmas associated with it.
333B,Von Bach 2013: The Valentine's Edition,Theater,United States,The Next Arena,Only a couple of days left!  Only a few CHEAP tickets left!  All tickets will be honored whether we reach funding goal or not.
489C,The  List,Theater,Canada,Steph Ouaknine,"A run of Jennifer Tremblay's award-winning play ""The List"" starring Torri Higginson and one front-facing projector!"
591C,Stolen Sharpie Revolution (5th edition),Zines,United States,Alex Wrekk,"Since 2002, Stolen Sharpie Revolution has been the go-to guide for zines and zine culture. Help bring the 5th edition to print!"
192C,The Tempest Ladies Take on Manhattan,Theater,United States,The Tempest Ladies,Our show is a non-traditionalensemblephysically based  approach to Shakespeare's 'The Tempest.' We are launching an NYC production this fall.
175C,"STORM, STILL at Brooklyn Yard",Immersive,United States,Gabrielle Reisman,"As they clean out their father's house, three siblings play a fast and loose game of KING LEAR- part eulogy, part backyard party."
427C,Macbeth - Blood Will Have Blood,Theater,United Kingdom,China Plate & Contender Charlie,An unforgettable reimagining of Shakespeare's Macbeth for children aged 9-13.
459C,Coming Home,Plays,United States,Erasing the Distance,Professional actors bring to life the true stories of 5 African-Americans struggling with mental health and their search for healing.
577C,BRIDESBURG,Theater,United States,Victor  Kaufold,Five working-class Philadelphians try to get by in a hostile economic environment with their hearts and minds intact.
447B,Kapow-i GoGo at The PIT,Plays,United States,Colin Waitt,"The three part comedic saga of Kapow-i GoGo, who saves the world.  Again.  And again."
90,SPLINTER GROUP: The Salesman is Dead and Gone,Theater,US,Paul Budraitis,"A non-verbal, image and action based theatre piece imagining the afterlife of Willy Loman from Arthur Miller's ""Death of a Salesman""."
120B,"RISD ""Cabaret""",Theater,United States,Victoria Haynes,"Life is a Cabaret, Old Chum! Lets make Theater happen at RISD!"
519C,She Inspires 365,Art Books,United States,Andrea Leoncavallo,An art book collection of images and stories from the yearlong photography project about women and what inspires them.
146B,OLYMPIC FAVELA - a Photography Book,Publishing,United States,Marc Ohrem-Leclef,A photo-book portraying the favela residents in Rio being displaced as the city prepares to host World Cup and Olympic Games.
57,Honest Accomplice Theatre 2015-16 Season,Plays,United States,Honest Accomplice Theatre,Honest Accomplice Theatre produces theatre for social change.
341B,"Bring the shadow-puppet ""Book of Jonah"" to life!",Theater,United States,Nick Trotter,"A shadow-puppet adaptation of the biblical ""Book of Jonah,"" premiering at the 2011 International Animated Objects Festival in Calgary."
273C,Equus at Frenetic Theatre,Plays,United States,Matthew Logan,Equus is the story of a psychiatrist treating a teenaged boy who blinds six horses with a metal spike.
514C,Sweet Freedom Bakery Allergen-Free Cookbook & Secret Recipes,Nonfiction,United States,Allison Lubert,"We are finally sharing our coveted recipes that are free of gluten, dairy, soy, eggs, cornrefined sugars & peanuts."
230C,KANYE'S PUG CALENDAR - 2014% AWESOME,Calendars,United States,MEET THE PUGS,FORGET ABOUT FIREMEN AND CATSTHIS IS THE CALENDAR YOU WANT.SEXYCUTE AND 2014% AWESOME
75,Scared Shtless! (A Love Story),Theater,United States,Blatant Testimony,"Blatant Testimony premieres this hilarious original comedy about ghosts, con men, fear, and love."
155B,"Be a Hobbit, Save the Earth",Nonfiction,United States,Steve Bivans,"The hobbit's guide to saving the Earth, living sustainably, and rebuilding our Scoured Shire, one 'hole' and community at a time."
305B,RAFT: a new play by Emily Kitchens,Festivals,United States,The Group Lab,"Faith. Home. Kin. RAFT is the slanted tale of sisters adrift, premiering this August at the Edinburgh Festival Fringe."
580C,Talia - Audiodrama AlbumPerformance and Film,Experimental,United States,William Nava,"A hypnotic spoken word meta-narrative and a journey across many musical genres. Presented as album, stage performance and film."
633C,The Hotel Colors,Theater,United States,Eliza Bent,"At a dingy hostel in the outskirts of Romesix travelers form a fleeting community as they fail, and flail, to communicate."
253B,Crab House - A New Musical - coming to Off-Broadway October!,Theater,United States,Crab House Production Team,CRAB HOUSE - A brand new dark comedy musical premiering Off-Broadway in New York City in October 2011.
3,30 Years of Silence: The Mysterious Death of Willie McRae,Nonfiction,United Kingdom,Paul Delamore,"In 1985, the SNP's Willie McRae was found dying in his crashed car - with a bullet to his head. In 2015, it's time to end the silence."
246B,Twin Cities Horror Festival 2012,Theater,United States,Twin Cities Horror Festival 2012,"Ten days of horrifying excitement at the Southern Theater featuring theater, dance, music, and film. Oct. 25 - Nov. 3."
508C,Funny Folks,Theater,United States,Funny Folks,A workshop for adolescents who identify as transnon-binaryand female to learn improvsketchand stand-up comedy skills
107C,The Gray Man,Plays,United States,Pipeline Theatre Company,The Gray Man isn't real. He's a ghost storya boogeymana tale mothers make up to keep their children safe.
177B,PASADENA MUSICAL THEATRE PROGRAM 2011-2012 SEASON,Theater,United States,Pasadena Musical Theatre Program,"Become a PMTP Sponsor of one of seven projects this year, including masterclasses, productions, concerts, workshops, and more!"
298B,#Stock Tips: A Zine About Soup,Zines,United States,Rachel Fershleiser,Because the world needs a lo-fi tribute to everyone's favorite meal.
78B,8+1: An Asian American Literary Symposium,Publishing,United States,Lawrence-Minh Bui Davis,"A day-long festival celebrating Asian American literature, Asian American writers, and community.  Free to the public.  May 7, 2011."
223C,"""Playing with Napkins"" coffee table book",Art Books,United States,Brian D. Parker,A surprising collection - temporary napkin art with coffee and a bagel. An idle hobby turned obsession. Sure to bring smiles.
83B,The Day The Sun Went Away,Children's Books,United States,Jonathan Heilig,Self-illustrated children's picture book about a bird and a scientist who find that the sun has mysteriously disappeared.
224B,Sally Discovers New York,Children's Books,United States,"Stephen Huneck Gallery, Inc.","Sally is going places, The Farm, The Mountains and in her New York Times bestseller, The Beach. Now Sally wants to visit New York."
379C,TROLLEYOLOGY - The First Ten Years of Trolley Books,Publishing,United Kingdom,Trolley Books,"TROLLEYOLOGY - the story of ten years of maverick independent publishing of photography, reportage, contemporary art and literature."
515C,GOOD JOBBRAIN! - A Trivia & Quiz Show Podcast,Radio & Podcasts,United States,Karen Chu,Stump and get stumped! Play along & laugh along as our co-hosts eke out brain juice in this offbeat trivia podcast.
190B,Furthering the Puppet Experience-Thingumajig to Fayetteville,Theater,United States,Jo Ann Kaminsky,We are creating a puppet circuit for NW Arkansas. We need help raising money  to rent a venue for our first guest artists from England.
480C,HAMLET,Theater,United States,Alexandra Oliver,Player King Productions presents an exciting new look at Shakespeare's Hamlet.
221C,Uncommonly Good: Stories of lifefood and the birth of Good Commons,Nonfiction,United States,Good Commons,"Part memoir and part cookbook with a heavy dose of humor""Uncommonly Good..."" tells the story of what happens when small dreams become big."
208B,"Steve Brosky, The Musical! ""Living Here In Allentown""",Musical,United States,Lehigh Valley Blues Network,We're creating a stage show for Steve Brosky based on the songs he's written over the past 30 years in Pennsylvania's Lehigh Valley.
138,The Barbara Vann Memorial Fund for Medicine Show Theatre,Theater,United States,Nishi Rajan,"Support a genuine non-profit New York City community theatre that has helped actors, directors & playwrights for the past 45+ years."
280C,Ain't She Brave FringeNYC 2014 Project,Plays,United States,Ntare Ali & Erika Gault,An emotionally-charged journey through the history of black women in America told in reverse.
410C,The Shimmer Project,Theater,United States,Jason Lambert & Agnes Table,Gritty and poeticO'Keefe's award-winning solo theatre piece is a coming of age story ideal for a variety of audiences and venues.
250B,Have Coeurage! GO BIG on The Trouble with Words,Theater,United States,Jeremy Lelliott,Become a producer! Join us as we transform our award-winning musical from a tiny workshop into a big time production.
215B,"""The Last American Hitch Hiker    >>>   Tales of Wander""",Nonfiction,United States,Mark >>>>>>  raindogfalls@yahoo.com,"Aiming my thumb at the stars now!  ""Funded"", but looking for more so I can get MORE BOOKS PRINTED and out to Good Folks of the World!"
414C,FOG by Eugene O'Neill,Theater,United States,InOktober Productions,"""Those whom the gods want to destroy they first teach mathematics."" Eugene O'Neill's early play ""Fog"" staged as a modern drama of disconnect. "
387B,Nursery Crimes,Plays,United States,Last Act Theatre Co.,A 40s crime-noir play using nursery rhyme characters.
185B,The Aurora Project: A Sci-Fi Epic by Bella Poynton,Plays,United States,Tiffany Keane,"Help fund The Aurora Project, an immersive science fiction epic."
80C,The Beat Cop's Guide to Chicago Eats,Publishing,United States,Lake Claremont Press,Street smarts for your eat smarts. When the Beat Cop pauses from taking a bite out of crimehe grabs a bite at joints all over town.
150C,The Stage at KDHX,Radio & Podcasts,United States,Campaign for KDHX,The Stage at KDHX will be a beacon for artistic independence in the heart of the countryshowcasing new artists and old favorites.
431C,"""A Different Woman:"" Banned MemoirGroundbreaking Theatre! ",Theater,United States,Veronica Russell,"BANNED in 3 countries, DESTROYED by authorities, & SHOCKING to great literary minds of its day...the1925 memoir of a Texas schoolteacher"
322C,The Orpheus Variations at the Under the Radar Festival,Experimental,United States,The Deconstructive Theatre Project,"A multimedia theatre experience colliding live performance, neuroscience, and interactive technology at Under the Radar 2015."
205B,The Rebirth of Beltane,Festivals,Australia,Gordy David,"Family Fun in the Park and music and theatre, inspired by festivals Beltane, Dia De Los Muertos, Feast Of Fools and Halloween."
450B,All Bare Theatre bring THE MAIDS to Edinburgh 2015,Plays,United Kingdom,All Bare Theatre,"A bit of role-play never hurt anyone, right? Two maids play a game of murder. Genet's THE MAIDS in a visceral production by ALL BARE."
261C,ANIMALS premieres The Baroness is the Future !,Theater,United States,Ben Gansky,A hairsexycrotchscratchingfunsettling investigation of what happens when creativity and responsibility get in a fight.
362C,The Grand Prix of Scottsdale featuring Vintage Mini Racers,Immersive,United States,Grand Prix of Scottsdale,The inaugural 1920s-themed Grand Prix of Scottsdale will roar through the streets of downtown ScottsdaleAZ on November 72015
159B,State Themed Flash Cards: A New Way To Souvenir!,Children's Books,United States,Bright Eyed Baby,"A colorful way to enhance vocabulary development, learn about the United States, and also inspire travel  in your little ones."
587C,Arctic Ocean Sea Ice: A 'Citizen Science' Project,Academic,United States,Lauren Farmer,A citizen science project aiming to contribute to Arctic Ocean knowledge by collecting valuable sea ice data at the North Pole.
92,Little Shop of Horrors,Theater,US,Kevin Horne,"The funniest, craziest musical you've ever seen. With an all - Great Performances cast!"
391B,PB&J Theatre Factory's Sleigh,Theater,United States,PB&J Theatre Factory,"PB&J Theatre Factory's festive comedy, Sleigh, promises to make audiences laugh their way through the holidays!"
110B,A Bucket of Blood,Theater,United States,Shawnna Journagan,A theatrical performance of a 1959 cult classic Horror Movie set to a live jazz score. Check out the trailer! http://vimeo.com/37574094
524C,No Experiences (or 24 Ways of Looking at a Spam Horse),Poetry,United States,Erin Watson,I wrote 24 poems with one @Horse_ebooks tweet in each. I want to put them in a chapbook for you.
122,"New Works Lab @ PPAS: ""Salomé of the Moon""",Theater,United States,Waterwell,Waterwell's New Works Lab @ PPAS is the country's leading development program for challenging new plays for young actors.
178B,A Lady Must Live,Theater,United States,Salli Richardson-Whitfield,a Bioplay about Lena Horne starring Salli Richardson-Whitfield
385C,The Passion as Told by AntÃ­gona Pérez,Theater,United States,Thriving Artists,Set in a Latin American dictatorshipthis version of Antigone questions our role and responsibilities as social media users.
590C,Bluecrowne (Arcana Project #2),Children's Books,United States,Katemilford,"A fantasy novel published in paperback and digital editions, including an ebook illustrated by young reader artists."
29,"The Nine Months, Three Weeks & Five Days That I Was Famous'",Fiction,Germany,Lollie Barr,What would you do if you became the most famous person in the world overnight? Embrace it or run like hell?
99C,MY NAME IS B,Experimental,United Kingdom,Company B,MY NAME IS B is inspired by Andersen's The Red Shoes and Breuer's case of Anna O. It explores obsessioncelebrity & mental health.
222B,The ZISK Anthology,Nonfiction,United States,Blue Cubicle Press,A collection of baseball rants and reflections from fourteen years of Zisk zine.
207C,DANI GIRL is Going to Dallas!,Theater,United States,Greyman Theatre Company,Help get Greyman Theatre Company's production of DANI GIRL: An Original Musical to Dallas' Out of the Loop Fringe Festival!
213C,Freaking Awesome 2014 Season,Theater,United States,Three Day Hangover,A season of plays you thought you knewmade new. We'll bring Shakespeare & Chekhov out to the bar and tell their stories really well.
494B,Fishtank Sends L'Histoire D'Amour to the New Orleans Fringe Festival,Theater,United States,Heidi Van,Fishtank original production L'HISTOIRE D'AMOUR: A Clown Love Story tours to the Big Easy for the New Orleans Fringe Festival!
469B,Gorilla Theater Productions of C-ville Presents: MACBETH,Theater,United States,Anna Lien,Imagine a world that ran out of energy. And imagine the children of the people who came after. What will they do to attain Power?
15,99 Ways To Die - A coloring book for ADULTS,Art Books,United States,Christopher Locke,This coloring book is NOT for kids! It's for adults who enjoy laughing at (& coloring) pics of people dying in lots of different ways.
457B,Waxwing: A New Play,Plays,United States,Anna,WAXWING is an exciting new world premiere of mythic (perhaps even apocalyptic!) proportions.
494C,Spitting In The Face Of The Devil - 2011 Summer Tour,Theater,United States,Bob Brader & Suzanne Bachner,7681 miles5 cities2 theater artists1 powerful award-winning solo show.  Our 3-month tour would love your support!
88C,Little Evil Genius,Children's Books,United States,E.A. Perkins,Being a Little Evil Genius is hard sometimes and obstacles are not in short supplybut with enough determination anything is possible.
76B,Eco Kids Planet Magazine,Children's Books,United Kingdom,Eco Kids Planet,"An engaging, educational magazine for kids aged 6-11.  Issue One - The Amazon Rainforest.  In the little hands of big nature lovers."
539C,Depict-O-Mat,Immersive,United States,Amy Rush,"Created for event entertainment, Depict-O-Mat is modeled after a vintage photo booth and dispenses short, personalized stories."
476C,The Universal Puppet Project- A Cross-Cultural Collaboration,Theater,United States,Anna Paniccia,"With our cultures and styles of puppetry, puppeteers from France, Germany, US, Thailand, Cambodia, and Burma: we are developing a show."
518C,Legends of the Talmud,Children's Books,United States,Leah Vincent,"**Five magical ancient Jewish tales about compassion, determination, creativity & staying true to oneself.**"
140C,Nordo's Culinarium: Where Food Meets Art,Spaces,United States,Cafe Nordo/Ripple Productions,A place where innovationfoodcreativity and performance live year round in a historic building in Pioneer Square.
376B,Southern Shakespeare Festival,Festivals,United States,Southern Shakespeare Festival,Bringing FREE Shakespeare to Florida and the Big Bend.
250C,Bring I DREAMED OF RATS to Dell'Arte International!,Theater,United States,Terence Cranendonk,Terence Cranendonk is invited to perform his hilarious one-man tour de force at Dell'Arte International's 40th Anniversary Celebration.
434B,Saucy Magazine: Dangerous Food,Periodicals,United States,Kristen Taylor,What if a print food magazine was a little bit dangerous?
290B,30-Hour Comedy Podcast Marathon and Tour,Radio & Podcasts,United States,Keith & The Girl,We're raising money to create a 30-hour comedy marathon and an upcoming tour to celebrate our 10-year podcast anniversary.
188C,Antebellum,Immersive,United States,GOGOL ANNEX,The world premiere of a new theatre installation performance - a portrait of the notorious and famed in pre-Civil War era New Orleans
365C,"Théâtre Polichinelle Show ""Clown-Ballet""",Plays,United States,Théâtre Polichinelle,This is the story about dreams of the kindly clown who indulge in reverie to be a ballet dancer! Every act is a funny sentimental story
282C,Destiny is Judd Nelson: a new play at FringeNYC,Plays,United States,BIG Theatre Company,What is destiny? Explore it with us this August at FringeNYC.
466B,THE BARBARY COAST REVUE. Party Like It's 1899!,Theater,United States,Blake Wiers,Experience the wildest nights of the Gold Rush in this immersive musical about San Francisco's legendary red light district.
140,THE GEEK SHOW 2015-2016 Season! & Other VStheUNIVERSE Stuff!,Theater,United States,Aaron J. Amendola,"The Geek Show is a variety show with guests, games, sketches, and a focus on the Nerd community in Chicago. Allons-y!"
245B,Love is Like Mud: The Greatest Puppet Rock Opera of Our Time. Seriously.,Theater,United States,Josh Vasquez & Ben Folstein,A puppet rock opera in one act about the romantic misadventures of the current sexually active generation.
442C,82 Nights - A Fairytale Artbook,Art Books,United States,Anna Mohrbacher,Ania Mohrbacher is creating replicas of her 82 page sketchbook filled with fairytale ink drawings for you to own and enjoy.
345C,SCI-FEST,Festivals,United States,David Dean Bottrell,The 1st Annual Los Angeles Science Fiction One-Act Play Festival
127,The London Short Play Festival,Theater,GB,Millie Thorne & Maria Klockare,The main aim and focus for the festival is to create a platform for new playwrights where they can have their work performed live!
173B,ASTRAL DICK PART II,Theater,United States,Hanna Hall,"Astral Dick is an absurdist ""whodunit""  by playwright James Mathers."
331C,Austentatious Soundtrack,Theater,United States,Jane Caplow,The creators of fan-favoritehilarious musical Austentatious is recording a kick-ass cast album!
436C,The Free Man - the story of Hurr,Plays,United Kingdom,Ali Abbas Panju,A performance to inspire peopleregardless of their faithto visualise the repentance of Hurr and the forgiveness of Imam Hussain
299B,Continuous City,Art Books,United States,Brian Foo,"An illustrated book exploring imagined landscapes and topographies for New York City, told through conversations and paintings"
347B,POP! A Theatrical Experience: Project 2016,Experimental,United States,POP! A Theatrical Experience,"We're cooking up some high-octane performances in 2016.  But we need your help.  We PROMISE you'll love it.  Thank you, friends."
90C,Byron's ABC book,Children's Books,United States,Sven Bylander,An ABC book where A is not only for apple. Children already know about apples so there are none in this book.
21,XOXO Makes A Book,Publishing,United States,Kickstarter,XOXO Fest is a celebration of independently produced art and technology. Let's make a book about it!
463B,Max Goldberg's 2011 Fall Comedy Tour!,Theater,United States,Max Goldberg,Comedian Max Goldberg is embarking on a huge national stand-up comedy tour! Watch the video to learn how you can be my sponsor.
179B,"Pantochino Productions: ""Cinderella Skeleton, the Musical""",Theater,United States,Pantochino,"""Cinderella Skeleton, the musical"" will bring fresh, original, professional theatre for family audiences to New Haven, Connecticut!"
485B,"""Loving & Leaving ED."" (eating disorder)",Musical,Canada,Nikki Policelli,"A musical/narrative that invites you into the journey of a young girl who endured, battled and defeated ""ED."" Her eating disorder."
306C,This Is Where It Gets Interesting,Fiction,United States,John H. Matthews,PsychicsHostages & Teenage Geniuses. 28 darkly-comic stories that defy expectation. A dose of fiction unlike anything else.
333C,Spider Cult: the Musical,Musical,United States,Jade Sylvan,The Best of Boston Burlesque bring you the Apocalyptic Lesbian Fringe Sci-Fi Horror Musical of the century!
404C,One Flew Over the Cuckoo's Nest: Synapse Theatre Ensemble,Theater,United States,Synapse Theatre Ensemble,"Synapse Theatre Ensemble needs YOUR help to fund their premier production of ""One Flew Over the Cuckoo's Nest"" by Dale Wasserman."
273B,"""Man Saved by Condiments!"" presented by Theatre Arlo",Theater,United States,Bill Stiteler,"Based on the true story of a man who drove off a bridge, broke his hip, and survived for five days by eating snow and condiment packets"
126,Costuming the Great White Way,Theater,United States,James E Crochet,An exhibit celebrating the visual legacy of  American theatrical costuming  spanning more than 50 years and over a dozen productions.
528C,Pop Serial #2,Nonfiction,United States,Stephen Dierks,Please help fund Issue 2 of Pop Serialmy limited-edition literary/art magazine! Donate $10receive a copy. Donate morewin prizes!
294C,A Handheld Tablet Time Machine:  The E-History Guidebook,Nonfiction,United States,Aaron Killian,Civil War battlefield tour company designs cutting edge guidebook to interactively immerse users in American history.
319B,Bringing First Love/Worst Love To Life,Plays,United States,Rebecca Cox + Julie Civiello (deleted),"First Love/Worst Love is an examination of love and its mutability, as expressed through twelve stories and five actors on one stage."
355C,A Game Without a Name: Free Show in NYC,Theater,United States,A Festival of Fools,A free outdoor original play in modern versepart of the NYC International Fringe Festivalwith musicswordfights & mayhem!
502C,Gardening: For The Unfulfilled And Alienated - by Brad Birch,Theater,United Kingdom,Undeb Theatre,"Step inside Owain's shed to hear the lengths one man will go to for a beautiful garden. A play about obsession, death and horticulture."
111C,3 Sticks presents Paper Planea new piece of music-theatre,Theater,United States,Ben Gansky,"Set in the Great Depression at the intersection of trains and planes, Paper Plane is a journey of escape and discovery."
563C,Good People by David Lindsay-Abaire at Waterfront Playhouse,Plays,United States,Body Electric Productions,Bringing David Lindsay-Abaire's award-winning story of our times to the East Bay.
231B,Little Red,Theater,United Kingdom,CAPTCHA theatre,"Little Red Riding Hood' is magically re-imagined for little ones with many genres of puppetry, music and interactive fun!"
415B,Old World Scotland Renaissance Town,Festivals,United States,Lisa M. Darington,"A living history renaissance town for all ages, current time frame for completion is Jan. 1, 2017 amongst a rain forest created by man"
181C,Invest in new folk opera about Sojourner Truth.,Theater,United States,Linda MCINERNEY,Share in funding our new folk opera about the life of Sojourner Truthex-slave and fiery abolitionist who fought for the freedom of women and slaves.
218C,Tearing Down Cabrini-Greena dynamic social commentary.,Plays,United States,Donnie F. Wilson,A richly textured and intellectually powerful social commentary about familycommunity and America.
509C,Neighborhood Theatre Group's First Season!,Theater,United States,Kristin Anne Danko,Help build the theatre community in YpsilantiMichigan by donating to Neighborhood Theatre Group!
355B,Open Letters,Publishing,United States,Open Letters,A print experiment that tests the epistolary form as a device for generating conversations about architecture and design
69,Greenland Hits New York!,Theater,United States,The Bridge,Help the Bridge Theatre Company bring Nicolas Billon's award-winning play GREENLAND to the New York International Fringe Festival.
89C,The Snow Queen,Children's Books,United States,Julia Griffin,An illustrated retelling of Andersen's classic fairy tale.
213B,Parsec Ink's Triangulation: Last Contact Anthology,Fiction,United States,Steve Ramey,"Triangulation is a semi-professional annual SF, Fantasy and Horror Anthology that prides itself in encouraging new writers."
384B,We Play Chekhov,Plays,United States,Graham,Two stories by Anton Chekhov adapted for the stage and performed back-to-back in a stunning live theatrical performance.
198B,Parkway Center City Drama Presents: Boxes and Blind Dates,Theater,United States,Alex Buxbaum,Parkway Center City High School's Drama Club Presents its 4th Annual Early Spring Production
